Entity,Code,Day,people_vaccinated,145608-annotations
Argentina,ARG,2022-08-09,41244869,
Argentina,ARG,2022-08-10,41247592,
Argentina,ARG,2022-08-11,41252552,
Argentina,ARG,2022-08-12,41256967,
Argentina,ARG,2022-08-13,41257425,
Argentina,ARG,2022-08-14,41257522,
Argentina,ARG,2022-08-15,41257709,
Argentina,ARG,2022-08-16,41261148,
Argentina,ARG,2022-08-17,41263855,
Argentina,ARG,2022-08-18,41266747,
Argentina,ARG,2022-08-19,41269333,
Argentina,ARG,2022-08-20,41269623,
Argentina,ARG,2022-08-21,41269690,
Argentina,ARG,2022-08-22,41271944,
Argentina,ARG,2022-08-23,41274359,
Argentina,ARG,2022-08-24,41277058,
Argentina,ARG,2022-08-25,41279553,
Argentina,ARG,2022-08-26,41282112,
Argentina,ARG,2022-08-27,41282452,
Argentina,ARG,2022-08-28,41282544,
Argentina,ARG,2022-08-29,41284724,
Argentina,ARG,2022-08-30,41287103,
Argentina,ARG,2022-08-31,41289425,
Argentina,ARG,2022-09-01,41291909,
Argentina,ARG,2022-09-02,41292535,
Argentina,ARG,2022-09-03,41292788,
Argentina,ARG,2022-09-04,41292847,
Argentina,ARG,2022-09-05,41294899,
Argentina,ARG,2022-09-06,41297092,
Argentina,ARG,2022-09-07,41298993,
Argentina,ARG,2022-09-08,41300933,
Argentina,ARG,2022-09-09,41302938,
Argentina,ARG,2022-09-10,41303190,
Argentina,ARG,2022-09-11,41303236,
Argentina,ARG,2022-09-12,41304830,
Argentina,ARG,2022-09-13,41306480,
Argentina,ARG,2022-09-14,41308226,
Argentina,ARG,2022-09-15,41309864,
Argentina,ARG,2022-09-16,41311620,
Argentina,ARG,2022-09-17,41311828,
Argentina,ARG,2022-09-18,41311883,
Argentina,ARG,2022-09-19,41313135,
Argentina,ARG,2022-09-20,41314609,
Argentina,ARG,2022-09-21,41315817,
Argentina,ARG,2022-09-22,41317245,
Argentina,ARG,2022-09-23,41318728,
Argentina,ARG,2022-09-24,41318903,
Argentina,ARG,2022-09-25,41318932,
Argentina,ARG,2022-09-26,41320345,
Argentina,ARG,2022-09-27,41321630,
Argentina,ARG,2022-09-28,41322808,
Argentina,ARG,2022-09-29,41324086,
Argentina,ARG,2022-09-30,41325308,
Argentina,ARG,2022-10-01,41325588,
Argentina,ARG,2022-10-02,41325652,
Argentina,ARG,2022-10-03,41326965,
Argentina,ARG,2022-10-04,41328497,
Argentina,ARG,2022-10-05,41329768,
Argentina,ARG,2022-10-06,41331252,
Argentina,ARG,2022-10-07,41331426,
Argentina,ARG,2022-10-08,41331563,
Argentina,ARG,2022-10-09,41331609,
Argentina,ARG,2022-10-10,41331681,
Argentina,ARG,2022-10-11,41332806,
Argentina,ARG,2022-10-12,41334061,
Argentina,ARG,2022-10-13,41335294,
Argentina,ARG,2022-10-14,41336548,
Argentina,ARG,2022-10-15,41336684,
Argentina,ARG,2022-10-16,41336703,
