Fecha,Casos (nuevos),Muertes (nuevos),Vacunados (nuevos-full),Cantidad de habitantes
2021-09-12,930.0,46.0,9799.0,45510324.0
2021-09-13,2297.0,238.0,302871.0,45510324.0
2021-09-14,3017.0,176.0,279811.0,45510324.0
2021-09-15,2510.0,153.0,330502.0,45510324.0
2021-09-16,2493.0,132.0,361497.0,45510324.0
2021-09-17,2308.0,185.0,363583.0,45510324.0
2021-09-18,1451.0,81.0,221407.0,45510324.0
2021-09-19,622.0,61.0,137754.0,45510324.0
2021-09-20,2162.0,90.0,346207.0,45510324.0
2021-09-21,1837.0,61.0,309642.0,45510324.0
2021-09-22,2034.0,105.0,328788.0,45510324.0
2021-09-23,1733.0,88.0,311916.0,45510324.0
2021-09-24,1849.0,56.0,261452.0,45510324.0
2021-09-25,993.0,21.0,128295.0,45510324.0
2021-09-26,562.0,13.0,88057.0,45510324.0
2021-09-27,1538.0,92.0,282678.0,45510324.0
2021-09-28,1825.0,84.0,301102.0,45510324.0
2021-09-29,1496.0,92.0,255674.0,45510324.0
2021-09-30,1641.0,49.0,336768.0,45510324.0
2021-10-01,1564.0,46.0,304376.0,45510324.0
2021-10-02,886.0,14.0,179122.0,45510324.0
2021-10-03,386.0,6.0,108566.0,45510324.0
2021-10-04,981.0,38.0,230180.0,45510324.0
2021-10-05,1216.0,40.0,266827.0,45510324.0
2021-10-06,1284.0,56.0,247815.0,45510324.0
2021-10-07,1086.0,37.0,264915.0,45510324.0
2021-10-08,753.0,28.0,121406.0,45510324.0
2021-10-09,470.0,14.0,115995.0,45510324.0
2021-10-10,331.0,15.0,78787.0,45510324.0
2021-10-11,416.0,18.0,76459.0,45510324.0
2021-10-12,1064.0,56.0,347363.0,45510324.0
2021-10-13,1314.0,35.0,380006.0,45510324.0
2021-10-14,1350.0,51.0,424553.0,45510324.0
2021-10-15,1358.0,27.0,426503.0,45510324.0
2021-10-16,790.0,3.0,253960.0,45510324.0
2021-10-17,400.0,3.0,103674.0,45510324.0
2021-10-18,912.0,38.0,423559.0,45510324.0
2021-10-19,1303.0,33.0,424425.0,45510324.0
2021-10-20,1218.0,33.0,415018.0,45510324.0
2021-10-21,1541.0,26.0,419991.0,45510324.0
2021-10-22,1385.0,23.0,463877.0,45510324.0
2021-10-23,908.0,4.0,216911.0,45510324.0
2021-10-24,540.0,3.0,145953.0,45510324.0
2021-10-25,1227.0,25.0,365133.0,45510324.0
2021-10-26,1415.0,15.0,409363.0,45510324.0
2021-10-27,1485.0,23.0,328556.0,45510324.0
2021-10-28,1589.0,27.0,352711.0,45510324.0
2021-10-29,1373.0,19.0,325106.0,45510324.0
2021-10-30,812.0,7.0,129592.0,45510324.0
2021-10-31,548.0,8.0,150150.0,45510324.0
2021-11-01,1138.0,39.0,299113.0,45510324.0
2021-11-02,1340.0,21.0,321238.0,45510324.0
2021-11-03,1264.0,19.0,350748.0,45510324.0
2021-11-04,1440.0,26.0,360135.0,45510324.0
2021-11-05,1271.0,28.0,311441.0,45510324.0
2021-11-06,928.0,8.0,167208.0,45510324.0
2021-11-07,593.0,13.0,127912.0,45510324.0
2021-11-08,1288.0,39.0,250382.0,45510324.0
2021-11-09,1349.0,22.0,352670.0,45510324.0
2021-11-10,1567.0,19.0,369971.0,45510324.0
2021-11-11,1460.0,25.0,383285.0,45510324.0
2021-11-12,1614.0,13.0,396275.0,45510324.0
2021-11-13,1092.0,6.0,189707.0,45510324.0
2021-11-14,591.0,4.0,9693.0,45510324.0
2021-11-15,1417.0,18.0,337855.0,45510324.0
2021-11-16,1622.0,44.0,378302.0,45510324.0
2021-11-17,1553.0,19.0,367511.0,45510324.0
2021-11-18,1755.0,28.0,361645.0,45510324.0
2021-11-19,1518.0,19.0,390510.0,45510324.0
2021-11-20,1095.0,14.0,173984.0,45510324.0
2021-11-21,646.0,3.0,93413.0,45510324.0
2021-11-22,641.0,5.0,107557.0,45510324.0
2021-11-23,1644.0,33.0,337162.0,45510324.0
2021-11-24,2234.0,43.0,348182.0,45510324.0
2021-11-25,2260.0,22.0,321070.0,45510324.0
2021-11-26,1912.0,25.0,333346.0,45510324.0
2021-11-27,1521.0,12.0,157108.0,45510324.0
2021-11-28,888.0,12.0,89518.0,45510324.0
2021-11-29,1968.0,25.0,358397.0,45510324.0
2021-11-30,2332.0,35.0,371451.0,45510324.0
2021-12-01,1881.0,8.0,380740.0,45510324.0
2021-12-02,2681.0,20.0,396840.0,45510324.0
2021-12-03,2382.0,22.0,316127.0,45510324.0
2021-12-04,1690.0,4.0,163831.0,45510324.0
2021-12-05,1294.0,3.0,96547.0,45510324.0
2021-12-06,2477.0,34.0,313252.0,45510324.0
2021-12-07,3089.0,23.0,335982.0,45510324.0
2021-12-08,1881.0,5.0,135205.0,45510324.0
2021-12-09,2744.0,11.0,301885.0,45510324.0
2021-12-10,3573.0,29.0,315384.0,45510324.0
2021-12-11,2445.0,12.0,155305.0,45510324.0
2021-12-12,1570.0,11.0,97456.0,45510324.0
2021-12-13,3512.0,21.0,325979.0,45510324.0
2021-12-14,4555.0,34.0,338563.0,45510324.0
2021-12-15,4819.0,31.0,382786.0,45510324.0
2021-12-16,5301.0,17.0,366428.0,45510324.0
2021-12-17,5648.0,18.0,331267.0,45510324.0
2021-12-18,4163.0,7.0,162259.0,45510324.0
2021-12-19,3254.0,4.0,92465.0,45510324.0
2021-12-20,5337.0,27.0,346340.0,45510324.0
2021-12-21,9336.0,23.0,352469.0,45510324.0
2021-12-22,11121.0,11.0,327187.0,45510324.0
2021-12-23,13456.0,15.0,238816.0,45510324.0
2021-12-24,16279.0,29.0,12868.0,45510324.0
2021-12-25,7183.0,12.0,741.0,45510324.0
2021-12-26,7623.0,15.0,53098.0,45510324.0
2021-12-27,20263.0,31.0,433627.0,45510324.0
2021-12-28,33902.0,19.0,524582.0,45510324.0
2021-12-29,42032.0,26.0,499157.0,45510324.0
2021-12-30,50506.0,35.0,426602.0,45510324.0
2021-12-31,47663.0,23.0,32055.0,45510324.0
2022-01-01,20020.0,12.0,4570.0,45510324.0
2022-01-02,20502.0,23.0,103593.0,45510324.0
2022-01-03,44396.0,41.0,493491.0,45510324.0
2022-01-04,81210.0,49.0,551374.0,45510324.0
2022-01-05,95159.0,52.0,546318.0,45510324.0
2022-01-06,109608.0,40.0,547245.0,45510324.0
2022-01-07,110533.0,42.0,571581.0,45510324.0
2022-01-08,101689.0,37.0,271522.0,45510324.0
2022-01-09,73319.0,27.0,164231.0,45510324.0
2022-01-10,88352.0,51.0,516426.0,45510324.0
2022-01-11,134439.0,52.0,501634.0,45510324.0
2022-01-12,131082.0,75.0,502139.0,45510324.0
2022-01-13,128402.0,138.0,466781.0,45510324.0
2022-01-14,139853.0,93.0,421060.0,45510324.0
2022-01-15,96652.0,88.0,188243.0,45510324.0
2022-01-16,65241.0,51.0,133897.0,45510324.0
2022-01-17,102458.0,191.0,421711.0,45510324.0
2022-01-18,120982.0,189.0,408310.0,45510324.0
2022-01-19,128321.0,208.0,387695.0,45510324.0
2022-01-20,129709.0,181.0,384126.0,45510324.0
2022-01-21,118171.0,160.0,372524.0,45510324.0
2022-01-22,98146.0,134.0,173688.0,45510324.0
2022-01-23,69884.0,65.0,118815.0,45510324.0
2022-01-24,78121.0,276.0,367635.0,45510324.0
2022-01-25,100863.0,259.0,348228.0,45510324.0
2022-01-26,88503.0,316.0,345124.0,45510324.0
2022-01-27,77729.0,333.0,353030.0,45510324.0
2022-01-28,63884.0,305.0,348926.0,45510324.0
2022-01-29,41978.0,179.0,157903.0,45510324.0
2022-01-30,21570.0,152.0,96513.0,45510324.0
2022-01-31,43472.0,285.0,359659.0,45510324.0
2022-02-01,49122.0,240.0,343353.0,45510324.0
2022-02-02,45070.0,321.0,317797.0,45510324.0
2022-02-03,42437.0,318.0,280642.0,45510324.0
2022-02-04,40094.0,287.0,323567.0,45510324.0
2022-02-05,21836.0,145.0,135684.0,45510324.0
2022-02-06,12664.0,100.0,91415.0,45510324.0
2022-02-07,25406.0,259.0,288231.0,45510324.0
2022-02-08,32790.0,284.0,273745.0,45510324.0
2022-02-09,27252.0,217.0,302660.0,45510324.0
2022-02-10,25110.0,263.0,269582.0,45510324.0
2022-02-11,16503.0,152.0,242928.0,45510324.0
2022-02-12,11322.0,128.0,123911.0,45510324.0
2022-02-13,6289.0,94.0,77328.0,45510324.0
2022-02-14,13050.0,268.0,231791.0,45510324.0
2022-02-15,18573.0,236.0,219350.0,45510324.0
2022-02-16,17034.0,180.0,217710.0,45510324.0
2022-02-17,16650.0,159.0,213445.0,45510324.0
2022-02-18,15389.0,138.0,217525.0,45510324.0
2022-02-19,7807.0,123.0,89047.0,45510324.0
2022-02-20,4450.0,93.0,54262.0,45510324.0
2022-02-21,11170.0,173.0,205136.0,45510324.0
2022-02-22,16950.0,167.0,205657.0,45510324.0
2022-02-23,12564.0,157.0,208308.0,45510324.0
2022-02-24,10298.0,97.0,173593.0,45510324.0
2022-02-25,9487.0,86.0,208699.0,45510324.0
2022-02-26,5595.0,90.0,73096.0,45510324.0
2022-02-27,3610.0,72.0,35425.0,45510324.0
2022-02-28,3478.0,32.0,45200.0,45510324.0
2022-03-01,3520.0,105.0,44121.0,45510324.0
2022-03-02,8141.0,133.0,135240.0,45510324.0
2022-03-03,9219.0,141.0,128563.0,45510324.0
2022-03-04,8362.0,93.0,126325.0,45510324.0
2022-03-05,4430.0,84.0,58871.0,45510324.0
2022-03-06,2274.0,60.0,55118.0,45510324.0
2022-03-07,6286.0,74.0,153448.0,45510324.0
2022-03-08,6474.0,59.0,104873.0,45510324.0
2022-03-09,6096.0,54.0,120231.0,45510324.0
2022-03-10,6137.0,54.0,117386.0,45510324.0
2022-03-11,5615.0,42.0,128452.0,45510324.0
2022-03-12,2986.0,71.0,57760.0,45510324.0
2022-03-13,1236.0,65.0,28414.0,45510324.0
2022-03-14,4647.0,70.0,106938.0,45510324.0
2022-03-15,5076.0,38.0,127195.0,45510324.0
2022-03-16,4681.0,39.0,120606.0,45510324.0
2022-03-17,4577.0,29.0,117271.0,45510324.0
2022-03-18,14416.0,76.0,124884.0,45510324.0
2022-03-19,1697.0,44.0,67447.0,45510324.0
2022-03-20,1227.0,11.0,31892.0,45510324.0
2022-03-21,3614.0,105.0,118283.0,45510324.0
2022-03-22,4690.0,76.0,109222.0,45510324.0
2022-03-23,3603.0,77.0,118160.0,45510324.0
2022-03-24,1580.0,28.0,24544.0,45510324.0
2022-03-25,2572.0,66.0,112867.0,45510324.0
2022-03-26,1445.0,58.0,49773.0,45510324.0
2022-03-27,818.0,5.0,22052.0,45510324.0
2022-03-28,2655.0,34.0,108206.0,45510324.0
2022-03-29,3432.0,27.0,97349.0,45510324.0
2022-03-30,2965.0,27.0,94435.0,45510324.0
2022-03-31,2784.0,22.0,98433.0,45510324.0
2022-04-01,1927.0,33.0,89248.0,45510324.0
2022-04-02,802.0,7.0,24780.0,45510324.0
2022-04-03,484.0,6.0,14679.0,45510324.0
2022-04-04,1974.0,21.0,77712.0,45510324.0
2022-04-05,2228.0,20.0,76001.0,45510324.0
2022-04-06,2082.0,38.0,70873.0,45510324.0
2022-04-07,1842.0,14.0,66964.0,45510324.0
2022-04-08,1993.0,36.0,74513.0,45510324.0
2022-04-09,840.0,3.0,29501.0,45510324.0
2022-04-10,453.0,1.0,12692.0,45510324.0
2022-04-11,1590.0,35.0,67904.0,45510324.0
2022-04-12,2077.0,35.0,69727.0,45510324.0
2022-04-13,1720.0,17.0,75589.0,45510324.0
2022-04-14,1428.0,21.0,22674.0,45510324.0
2022-04-15,593.0,21.0,12410.0,45510324.0
2022-04-16,551.0,17.0,23126.0,45510324.0
2022-04-17,428.0,0.0,6998.0,45510324.0
2022-04-18,0.0,0.0,92326.0,45510324.0
2022-04-19,0.0,0.0,101849.0,45510324.0
2022-04-20,0.0,0.0,114468.0,45510324.0
2022-04-21,0.0,0.0,108479.0,45510324.0
2022-04-22,0.0,0.0,115150.0,45510324.0
2022-04-23,0.0,0.0,43466.0,45510324.0
2022-04-24,0.0,0.0,17494.0,45510324.0
2022-04-25,11307.0,198.0,116630.0,45510324.0
2022-04-26,0.0,0.0,108711.0,45510324.0
2022-04-27,0.0,0.0,115339.0,45510324.0
2022-04-28,0.0,0.0,129950.0,45510324.0
2022-04-29,0.0,0.0,132727.0,45510324.0
2022-04-30,0.0,0.0,46673.0,45510324.0
2022-05-01,11443.0,111.0,1095.0,45510324.0
2022-05-02,0.0,0.0,111100.0,45510324.0
2022-05-03,0.0,0.0,126325.0,45510324.0
2022-05-04,0.0,0.0,130745.0,45510324.0
2022-05-05,0.0,0.0,153537.0,45510324.0
2022-05-06,0.0,0.0,151723.0,45510324.0
2022-05-07,0.0,0.0,57427.0,45510324.0
2022-05-08,17646.0,76.0,29619.0,45510324.0
2022-05-09,0.0,0.0,156448.0,45510324.0
2022-05-10,0.0,0.0,176842.0,45510324.0
2022-05-11,0.0,0.0,161198.0,45510324.0
2022-05-12,0.0,0.0,167430.0,45510324.0
2022-05-13,0.0,0.0,203226.0,45510324.0
2022-05-14,0.0,0.0,88455.0,45510324.0
2022-05-15,33989.0,47.0,41529.0,45510324.0
2022-05-16,0.0,0.0,176827.0,45510324.0
2022-05-17,0.0,0.0,206938.0,45510324.0
2022-05-18,0.0,0.0,2646.0,45510324.0
2022-05-19,0.0,0.0,197525.0,45510324.0
2022-05-20,0.0,0.0,209609.0,45510324.0
2022-05-21,0.0,0.0,110891.0,45510324.0
2022-05-22,43487.0,49.0,51022.0,45510324.0
2022-05-23,0.0,0.0,224291.0,45510324.0
2022-05-24,0.0,0.0,209010.0,45510324.0
2022-05-25,0.0,0.0,36256.0,45510324.0
2022-05-26,0.0,0.0,209272.0,45510324.0
2022-05-27,0.0,0.0,230816.0,45510324.0
2022-05-28,0.0,0.0,113576.0,45510324.0
2022-05-29,51778.0,64.0,57854.0,45510324.0
2022-05-30,0.0,0.0,198814.0,45510324.0
2022-05-31,0.0,0.0,189886.0,45510324.0
2022-06-01,0.0,0.0,159553.0,45510324.0
2022-06-02,0.0,0.0,160649.0,45510324.0
2022-06-03,0.0,0.0,175606.0,45510324.0
2022-06-04,0.0,0.0,42667.0,45510324.0
2022-06-05,46045.0,84.0,18020.0,45510324.0
2022-06-06,0.0,0.0,143396.0,45510324.0
2022-06-07,0.0,0.0,137701.0,45510324.0
2022-06-08,0.0,0.0,141608.0,45510324.0
2022-06-09,0.0,0.0,139644.0,45510324.0
2022-06-10,0.0,0.0,151821.0,45510324.0
2022-06-11,0.0,0.0,38609.0,45510324.0
2022-06-12,0.0,0.0,17124.0,45510324.0
2022-06-13,0.0,0.0,135566.0,45510324.0
2022-06-14,36835.0,21.0,144246.0,45510324.0
